brand_name,model_name,starting_price,body_type,engine-cc,mileage
Maruti,Alto 800,₹ 2.94 Lakh*,Hatchback,796.0,31.59
Maruti,Alto K10,₹ 3.17 Lakh*,Hatchback,998.0,32.26
Maruti,S-Presso,₹ 3.7 Lakh*,Hatchback,998.0,21.7
Maruti,Eeco,₹ 3.8 Lakh*,Minivans,1196.0,21.94
Maruti,Celerio,₹ 4.41 Lakh*,Hatchback,998.0,21.63
Maruti,Wagon R,₹ 4.45 Lakh*,Hatchback,1197.0,20.52
Maruti,Ignis,₹ 4.89 Lakh*,Hatchback,1197.0,20.89
Maruti,Celerio X,₹ 4.9 Lakh*,Hatchback,998.0,21.63
Maruti,Swift,₹ 5.19 Lakh*,Hatchback,1248.0,28.4
Maruti,Baleno,₹ 5.63 Lakh*,Hatchback,1197.0,19.56
Maruti,Dzire,₹ 5.82 Lakh*,Sedans,1248.0,28.4
Maruti,Vitara Brezza,₹ 7.34 Lakh*,SUV,1462.0,18.76
Maruti,Ertiga,₹ 7.59 Lakh*,MUV,1498.0,24.2
Maruti,Ciaz,₹ 8.31 Lakh*,Sedans,1462.0,20.04
Maruti,S-Cross,₹ 8.8 Lakh*,SUV,1248.0,25.1
Maruti,XL6,₹ 9.84 Lakh*,MUV,1462.0,17.99
Hyundai,Santro,₹ 4.57 Lakh*,Hatchback,1086.0,30.48
Hyundai,Grand i10 Nios,₹ 5.04 Lakh*,Hatchback,1186.0,26.2
Hyundai,Elite i20,₹ 5.59 Lakh*,Hatchback,1396.0,22.54
Hyundai,Aura,₹ 5.79 Lakh*,Sedans,1186.0,0.0
Hyundai,Xcent,₹ 5.81 Lakh*,Sedans,1186.0,25.4
Hyundai,Grand i10,₹ 6.05 Lakh*,Hatchback,1197.0,18.9
Hyundai,Venue,₹ 6.55 Lakh*,SUV,998.0,18.15
Hyundai,i20 Active,₹ 7.74 Lakh*,Hatchback,1396.0,21.19
Hyundai,Verna,₹ 8.17 Lakh*,Sedans,1582.0,22.0
