vid,brand_name,model_name,avg_rating,min_price,max_price,image,body_type,engine,mileage
0,Maruti,Alto 800,4.5,₹ 2.94 Lakh*,₹ 4.36 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-Alto-800/7066/1565265450182/front-left-side-47.jpg,Hatchback,796,31.59
1,Maruti,Alto K10,4.4,₹ 3.17 Lakh*,₹ 4.07 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-Alto-K10/3482/front-left-side-47.jpg,Hatchback,998,32.26
2,Maruti,S-Presso,4.4,₹ 3.7 Lakh*,₹ 4.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Future-S/6166/1569405133474/front-left-side-47.jpg,Hatchback,998,21.7
3,Maruti,Eeco,4.2,₹ 3.8 Lakh*,₹ 4.75 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Eeco/7346/1581669301115/front-left-side-47.jpg,Minivans,1196,21.94
4,Maruti,Celerio,4.4,₹ 4.41 Lakh*,₹ 5.58 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Celerio/7366/1580276352118/front-left-side-47.jpg,Hatchback,998,21.63
5,Maruti,Wagon R,4.4,₹ 4.45 Lakh*,₹ 5.94 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-Wagon-R/6741/1564746908438/front-left-side-47.jpg,Hatchback,1197,20.52
6,Maruti,Ignis,4.5,₹ 4.89 Lakh*,₹ 7.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Ignis/7584/1583132645318/front-left-side-47.jpg,Hatchback,1197,20.89
7,Maruti,Celerio X,4.4,₹ 4.9 Lakh*,₹ 5.67 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-Celerio-X/6043/front-left-side-47.jpg,Hatchback,998,21.63
8,Maruti,Swift,4.5,₹ 5.19 Lakh*,₹ 8.84 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Swift/6318/1572069250647/front-left-side-47.jpg,Hatchback,1248,28.4
9,Maruti,Baleno,4.5,₹ 5.63 Lakh*,₹ 8.96 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-Baleno/6780/1564491336282/front-left-side-47.jpg,Hatchback,1197,19.56
10,Maruti,Dzire,4.5,₹ 5.82 Lakh*,₹ 9.52 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-Swift-Dzire/5839/1565357681342/front-left-side-47.jpg,Sedans,1248,28.4
11,Maruti,Vitara Brezza,4.4,₹ 7.34 Lakh*,₹ 11.4 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Vitara-Brezza-2020/7573/1581582310179/front-left-side-47.jpg,SUV,1462,18.76
12,Maruti,Ertiga,4.6,₹ 7.59 Lakh*,₹ 11.2 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Ertiga/7044/1574335436373/front-left-side-47.jpg,MUV,1498,24.2
13,Maruti,Ciaz,4.5,₹ 8.31 Lakh*,₹ 11.09 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Ciaz/7408/1580274224830/front-left-side-47.jpg,Sedans,1462,20.04
14,Maruti,S-Cross,4.6,₹ 8.8 Lakh*,₹ 11.43 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Maruti-SX4-S-Cross/6033/front-left-side-47.jpg,SUV,1248,25.1
15,Maruti,XL6,4.3,₹ 9.84 Lakh*,₹ 11.51 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/XL6/7030/1579078188149/front-left-side-47.jpg,MUV,1462,17.99
16,Hyundai,Santro,4.4,₹ 4.57 Lakh*,₹ 5.98 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Santro/7460/1580383928842/front-left-side-47.jpg,Hatchback,1086,30.48
17,Hyundai,Grand i10 Nios,4.8,₹ 5.04 Lakh*,₹ 8.04 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Grand-i10-Nios/7543/Hyundai-Grand-i10-Nios-Turbo/1581425177736/front-left-side-47.jpg,Hatchback,1186,26.2
18,Hyundai,Elite i20,4.6,₹ 5.59 Lakh*,₹ 9.41 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Elite-i20/7469/1580385615869/front-left-side-47.jpg,Hatchback,1396,22.54
19,Hyundai,Aura,4.5,₹ 5.79 Lakh*,₹ 9.22 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Aura/7234/1579860873190/front-left-side-47.jpg,Sedans,1186,0.0
20,Hyundai,Xcent,4.5,₹ 5.81 Lakh*,₹ 8.75 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Xcent/5789/1559026746847/front-left-side-47.jpg,Sedans,1186,25.4
21,Hyundai,Grand i10,4.6,₹ 6.05 Lakh*,₹ 6.57 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Grand-i10/7467/1580384497686/front-left-side-47.jpg,Hatchback,1197,18.9
22,Hyundai,Venue,4.5,₹ 6.55 Lakh*,₹ 11.15 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Venue/6888/1558685775843/front-left-side-47.jpg,SUV,998,18.15
23,Hyundai,i20 Active,4.6,₹ 7.74 Lakh*,₹ 9.93 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-i20-Active/6381/1565342779862/front-left-side-47.jpg,Hatchback,1396,21.19
24,Hyundai,Verna,4.6,₹ 8.17 Lakh*,₹ 14.07 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Verna/6695/1565340457860/front-left-side-47.jpg,Sedans,1582,22.0
25,Hyundai,Creta,4.7,₹ 9.99 Lakh*,₹ 15.72 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Creta/6437/front-left-side-47.jpg,SUV,1582,20.5
26,Hyundai,Elantra,4.9,₹ 15.88 Lakh*,₹ 20.39 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Elantra/7167/1570093022024/front-left-side-47.jpg,Sedans,1999,14.62
27,Hyundai,Tucson,4.1,₹ 18.76 Lakh*,₹ 26.97 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Tucson/5519/1560165575598/front-left-side-47.jpg,SUV,1995,16.38
28,Hyundai,Kona Electric,4.3,₹ 23.71 Lakh*,₹ 23.9 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Hyundai-Kona/6234/1562646651262/front-left-side-47.jpg,SUV,,0.0
29,Honda,Amaze,4.3,₹ 6.09 Lakh*,₹ 9.95 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Amaze/7439/1580301873085/front-left-side-47.jpg,Sedans,1498,24.7
30,Honda,Jazz,4.4,₹ 7.45 Lakh*,₹ 9.4 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-Jazz/6510/1551069682934/front-left-side-47.jpg,Hatchback,1498,27.3
31,Honda,WRV,4.3,₹ 8.08 Lakh*,₹ 10.48 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-WR-V/5485/1543318302281/front-left-side-47.jpg,SUV,1498,25.5
32,Honda,BRV,4.6,₹ 9.52 Lakh*,₹ 13.82 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-BR-V/4143/front-left-side-47.jpg,SUV,1498,21.9
33,Honda,City,4.5,₹ 9.91 Lakh*,₹ 14.31 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-City/5630/1557812647206/front-left-side-47.jpg,Sedans,1497,17.4
34,Honda,Civic,4.7,₹ 17.93 Lakh*,₹ 22.34 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-Civic/6849/1557907562298/front-left-side-47.jpg,Sedans,1597,26.8
35,Honda,CR-V,4.2,₹ 28.27 Lakh*,₹ 32.77 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-CR-V/6638/front-left-side-47.jpg,SUV,1597,19.5
36,Honda,Accord,4.7,₹ 43.21 Lakh*,₹ 43.21 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Honda-New-Accord/5494/front-left-side-47.jpg,Hybrids,1993,23.1
37,Tata,Tiago,4.4,₹ 4.6 Lakh*,₹ 6.6 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tiago/7377/1579764704486/front-left-side-47.jpg,Hatchback,1199,23.84
38,Tata,Altroz,4.7,₹ 5.29 Lakh*,₹ 9.29 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Altroz/7247/1578642800962/front-left-side-47.jpg,Hatchback,1497,0.0
39,Tata,Bolt,4.6,₹ 5.29 Lakh*,₹ 7.87 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Bolt/3778/front-left-side-47.jpg,Hatchback,1248,22.95
40,Tata,Tigor,4.1,₹ 5.75 Lakh*,₹ 7.49 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tigor/7339/1579858414566/front-left-side-47.jpg,Sedans,1199,20.3
41,Tata,Zest,4.4,₹ 5.82 Lakh*,₹ 9.89 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Zest/3096/1560166506286/front-left-side-47.jpg,Sedans,1248,21.58
42,Tata,Tiago NRG,4.5,₹ 5.94 Lakh*,₹ 6.89 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Tiago-NRG/6590/1551091636770/front-left-side-47.jpg,Hatchback,1047,27.0
43,Tata,Tiago JTP,4.8,₹ 6.69 Lakh*,₹ 6.69 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Tiago-JTP/6681/1563863533614/front-left-side-47.jpg,Hatchback,1199,23.84
44,Tata,Yodha Pickup,0.0,₹ 6.94 Lakh*,₹ 7.49 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Yodha-Pickup/7620/1582257809719/front-left-side-47.jpg,Pickup Trucks,2956,0.0
45,Tata,Nexon,4.6,₹ 6.94 Lakh*,₹ 12.7 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Nexon/7297/1580710491338/front-left-side-47.jpg,SUV,1497,21.5
46,Tata,Tigor JTP,4.6,₹ 7.59 Lakh*,₹ 7.59 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Tigor-JTP/6682/front-left-side-47.jpg,Sedans,1199,20.3
47,Tata,Tigor EV,4.5,₹ 9.17 Lakh*,₹ 9.75 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Tigor-EV/7010/1562745412915/front-left-side-47.jpg,Sedans,,0.0
48,Tata,Safari Storme,4.4,₹ 11.09 Lakh*,₹ 16.43 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Safari-Storme/1732/front-left-side-47.jpg,SUV,2179,14.1
49,Tata,Harrier,4.7,₹ 13.69 Lakh*,₹ 20.25 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Harrier/7503/1581510024851/front-left-side-47.jpg,SUV,1956,17.0
50,Tata,Hexa,4.6,₹ 13.7 Lakh*,₹ 19.27 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tata-Hexa/4142/1563863671942/front-left-side-47.jpg,MUV,2179,17.6
51,Tata,Nexon EV,4.8,₹ 13.99 Lakh*,₹ 15.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Nexon-EV/7042/1576845369560/front-left-side-47.jpg,SUV,,0.0
52,Mahindra,KUV100 NXT,4.3,₹ 4.88 Lakh*,₹ 7.94 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-KUV-100/6069/front-left-side-47.jpg,Hatchback,1198,25.32
53,Mahindra,e2oPlus,3.8,₹ 6.07 Lakh*,₹ 6.83 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-e2o-Plus/5487/1556194637042/front-left-side-47.jpg,Hatchback,,110.0
54,Mahindra,Verito Vibe,4.1,₹ 6.58 Lakh*,₹ 7.51 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Verito-Vibe/2417/1550810642721/front-left-side-47.jpg,Hatchback,1461,20.8
55,Mahindra,Bolero Pik-Up,4.5,₹ 6.9 Lakh*,₹ 7.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Bolero-Pik-Up/7230/1573280100232/front-left-side-47.jpg,Pickup Trucks,2523,0.0
56,Mahindra,Verito,4.2,₹ 7.48 Lakh*,₹ 8.87 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Verito/2293/1556195492457/front-left-side-47.jpg,Sedans,1461,21.03
57,Mahindra,Bolero Power Plus,4.7,₹ 7.61 Lakh*,₹ 8.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Bolero-Power-Plus/6486/front-view-118.jpg,SUV,1493,16.5
58,Mahindra,XUV300,4.6,₹ 8.3 Lakh*,₹ 12.68 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XUV300/7239/1579261790507/front-left-side-47.jpg,SUV,1497,20.0
59,Mahindra,TUV 300,4.4,₹ 8.54 Lakh*,₹ 10.55 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-TUV-300/6914/1556881143282/front-left-side-47.jpg,SUV,1493,18.49
60,Mahindra,E Verito,4.6,₹ 9.12 Lakh*,₹ 9.46 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/360x240/Mahindra/Mahindra-E-Verito/047.jpg,Sedans,,0.0
61,Mahindra,Xylo,4.1,₹ 9.17 Lakh*,₹ 12.0 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Xylo/1616/1550813511065/front-left-side-47.jpg,MUV,2179,14.02
62,Mahindra,Thar,4.4,₹ 9.59 Lakh*,₹ 9.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Thar/6989/1561115576578/front-left-side-47.jpg,SUV,2498,16.55
63,Mahindra,TUV 300 Plus,4.6,₹ 9.92 Lakh*,₹ 11.42 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-TUV-300-Plus/6469/front-left-side-47.jpg,SUV,2179,18.49
64,Mahindra,Marazzo,4.7,₹ 9.99 Lakh*,₹ 14.76 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Marazzo/6571/1579860084896/front-left-side-47.jpg,MUV,1497,17.3
65,Mahindra,Scorpio,4.6,₹ 10.19 Lakh*,₹ 16.83 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Scorpio/6120/1549006757162/front-left-side-47.jpg,SUV,2179,16.36
66,Mahindra,XUV500,4.3,₹ 12.3 Lakh*,₹ 18.62 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-XUV500/6360/front-left-side-47.jpg,SUV,2179,15.1
67,Mahindra,Alturas G4,4.9,₹ 27.7 Lakh*,₹ 30.7 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Mahindra-Alturas-G4/6708/1547729558138/front-left-side-47.jpg,SUV,2157,12.05
68,Renault,KWID,4.5,₹ 2.92 Lakh*,₹ 5.01 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/KWID/7426/1580286379253/front-left-side-47.jpg,Hatchback,999,24.04
69,Renault,Triber,4.4,₹ 4.99 Lakh*,₹ 6.78 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Triber/7418/1580113966019/front-left-side-47.jpg,MUV,999,20.0
70,Renault,Duster,4.5,₹ 7.99 Lakh*,₹ 12.49 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Renault-Duster/7014/1562581388944/front-left-side-47.jpg,SUV,1461,19.87
71,Renault,Lodgy,4.2,₹ 8.63 Lakh*,₹ 12.11 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Renault-Lodgy/5532/front-left-side-47.jpg,MUV,1461,19.98
72,Renault,Captur,4.6,₹ 9.49 Lakh*,₹ 12.99 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Renault/Renault-Captur/6868/1556006265951/front-left-side-47.jpg,SUV,1461,20.37
73,Ford,Figo,4.6,₹ 5.39 Lakh*,₹ 7.85 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Figo/7598/1582114400242/front-left-side-47.jpg,Hatchback,1499,24.4
74,Ford,Freestyle,4.7,₹ 5.89 Lakh*,₹ 8.19 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Freestyle/7599/1582116363682/front-left-side-47.jpg,Hatchback,1498,23.8
75,Ford,Aspire,4.6,₹ 5.99 Lakh*,₹ 8.34 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Aspire/7606/1582117845890/front-left-side-47.jpg,Sedans,1498,24.4
76,Ford,EcoSport,4.6,₹ 8.04 Lakh*,₹ 11.58 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Ecosport/7347/1579861367280/front-left-side-47.jpg,SUV,1498,21.7
77,Ford,Endeavour,4.3,₹ 29.55 Lakh*,₹ 33.25 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Endeavour/7591/1582629289185/front-left-side-47.jpg,SUV,1996,13.9
78,Ford,Mustang,4.7,₹ 74.62 Lakh*,₹ 74.62 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Ford/Mustang/1102/1569565000696/front-left-side-47.jpg,Coupe,4951,13.0
79,Nissan,Micra Active,4.1,₹ 5.28 Lakh*,₹ 6.03 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Micra-Active/2520/1563864334756/front-left-side-47.jpg,Hatchback,1198,19.69
80,Nissan,Micra,4.0,₹ 6.66 Lakh*,₹ 8.16 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Micra/6540/1556168538901/front-left-side-47.jpg,Hatchback,1461,23.19
81,Nissan,Sunny,4.5,₹ 7.07 Lakh*,₹ 9.93 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Sunny/5591/front-left-side-47.jpg,Sedans,1498,17.5
82,Nissan,Kicks,4.3,₹ 9.55 Lakh*,₹ 13.69 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Kicks/6756/1568865552889/front-left-side-47.jpg,Hatchback,1461,20.45
83,Nissan,Terrano,4.4,₹ 9.99 Lakh*,₹ 14.64 Lakh*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-Terrano/5701/1556017951761/front-left-side-47.jpg,SUV,1461,19.61
84,Nissan,GT-R,4.9,₹ 2.12 Cr*,₹ 2.12 Cr*,https://stimg.cardekho.com/images/carexteriorimages/630x420/Nissan/Nissan-GTR/744/front-left-side-47.jpg,Coupe,3798,9.0
